country,coub,fborn,edu_lfs,edu_cen,lfs_lfs,field_edu,number,reg_oecd,reg_regions
"NZL","AFRI",1,3,3,3,3,12,0,"AFRI"
"AUT","AFRI",1,3,34,1,9,17,0,"AFRI"
"AUT","AFRI",1,3,34,1,2,40,0,"AFRI"
"NOR","AFRI",1,3,3,3,8,5,0,"AFRI"
"AUS","AFRI",1,3,3,1,7,14,0,"AFRI"
"NOR","AFRI",1,3,3,3,1,7,0,"AFRI"
"AUS","AFRI",1,3,4,3,99,4,0,"AFRI"
"AUT","AFRI",1,3,34,2,99,10,0,"AFRI"
"NOR","AFRI",1,3,3,1,9,2,0,"AFRI"
"NZL","AFRI",1,3,3,2,3,3,0,"AFRI"
"AUS","AFRI",1,3,3,3,5,35,0,"AFRI"
"AUS","AFRI",1,3,4,1,99,13,0,"AFRI"
"AUS","AFRI",1,3,4,2,5,10,0,"AFRI"
"NZL","AFRI",1,3,4,2,4,3,0,"AFRI"
"AUS","AFRI",1,3,3,2,9,12,0,"AFRI"
"AUS","AFRI",1,3,3,2,8,28,0,"AFRI"
"AUS","AFRI",1,3,3,1,9,20,0,"AFRI"
"NZL","AFRI",1,3,4,1,8,9,0,"AFRI"
"NZL","AFRI",1,3,4,1,5,6,0,"AFRI"
"NZL","AFRI",1,3,3,1,99,18,0,"AFRI"
"AUS","AFRI",1,3,4,1,3,26,0,"AFRI"
"NZL","AFRI",1,3,4,1,7,3,0,"AFRI"
"NOR","AFRI",1,3,3,1,7,4,0,"AFRI"
"NZL","AFRI",1,3,4,1,9,3,0,"AFRI"
"MEX","AFRI",1,3,3,1,6,12,0,"AFRI"
"AUS","AFRI",1,3,3,99,8,6,0,"AFRI"
"AUS","AFRI",1,3,3,2,4,14,0,"AFRI"
"NZL","AFRI",1,3,4,1,3,6,0,"AFRI"
"AUT","AFRI",1,3,34,3,9,2,0,"AFRI"
"AUT","AFRI",1,3,34,1,7,27,0,"AFRI"
"AUS","AFRI",1,3,4,1,5,23,0,"AFRI"
"NOR","AFRI",1,3,3,1,8,15,0,"AFRI"
"AUT","AFRI",1,3,34,3,8,10,0,"AFRI"
"NOR","AFRI",1,3,3,1,5,10,0,"AFRI"
"AUS","AFRI",1,3,3,3,8,35,0,"AFRI"
"AUS","AFRI",1,3,3,1,3,19,0,"AFRI"
