country,coub,fborn,edu_lfs,edu_cen,lfs_lfs,sex,number,reg_oecd,reg_regions
"AUS","AFG",1,3,3,3,2,328,0,"ASIA"
"HUN","AFG",1,3,34,1,2,3,0,"ASIA"
"GBR","AFG",1,3,34,3,2,376,0,"ASIA"
"HUN","AFG",1,3,34,1,1,56,0,"ASIA"
"NOR","AFG",1,99,99,2,1,70,0,"ASIA"
"AUS","AFG",1,2,2,99,1,11,0,"ASIA"
"AUS","AFG",1,99,99,99,1,67,0,"ASIA"
"NOR","AFG",1,99,99,3,1,1045,0,"ASIA"
"NZL","AFG",1,1,1,3,1,24,0,"ASIA"
"DNK","AFG",1,3,3,3,2,160,0,"ASIA"
"GRC","AFG",1,2,2,1,1,10,0,"ASIA"
"ITA","AFG",1,3,4,1,2,5,0,"ASIA"
"BEL","AFG",1,2,2,3,1,12,0,"ASIA"
"AUS","AFG",1,3,3,1,1,537,0,"ASIA"
"DNK","AFG",1,99,99,3,2,774,0,"ASIA"
"GBR","AFG",1,99,99,1,2,27,0,"ASIA"
"PRT","AFG",1,1,1,1,1,1,0,"ASIA"
"USA","AFG",1,3,3,1,2,3195,0,"ASIA"
"DNK","AFG",1,3,3,1,2,35,0,"ASIA"
"CAN","AFG",1,3,3,3,1,735,0,"ASIA"
"DNK","AFG",1,1,1,3,1,480,0,"ASIA"
"FRA","AFG",1,1,1,1,1,47,0,"ASIA"
"NOR","AFG",1,99,99,1,1,268,0,"ASIA"
"BEL","AFG",1,3,4,2,1,1,0,"ASIA"
"SWE","AFG",1,3,4,3,2,5,0,"ASIA"
"AUS","AFG",1,2,2,99,2,8,0,"ASIA"
"GBR","AFG",1,99,99,2,1,79,0,"ASIA"
"BEL","AFG",1,3,4,1,1,2,0,"ASIA"
"CHE","AFG",1,3,3,2,2,1,0,"ASIA"
"BEL","AFG",1,1,1,3,1,54,0,"ASIA"
"DNK","AFG",1,99,99,1,2,27,0,"ASIA"
"AUS","AFG",1,2,2,2,2,135,0,"ASIA"
"POL","AFG",1,2,2,1,2,3,0,"ASIA"
"SVK","AFG",1,3,3,1,2,2,0,"ASIA"
"NZL","AFG",1,3,4,1,1,3,0,"ASIA"
"IRL","AFG",1,1,1,3,1,6,0,"ASIA"
"TUR","AFG",1,3,3,2,1,55,0,"ASIA"
"NZL","AFG",1,3,4,3,1,3,0,"ASIA"
"SWE","AFG",1,2,2,3,1,440,0,"ASIA"
"CAN","AFG",1,1,1,2,2,200,0,"ASIA"
"FIN","AFG",1,1,1,1,1,5,0,"ASIA"
"CHE","AFG",1,1,1,2,2,37,0,"ASIA"
"POL","AFG",1,1,1,3,1,6,0,"ASIA"
"SWE","AFG",1,3,4,1,1,5,0,"ASIA"
"BEL","AFG",1,3,3,1,1,35,0,"ASIA"
"IRL","AFG",1,3,3,2,2,3,0,"ASIA"
"CZE","AFG",1,3,3,1,1,59,0,"ASIA"
"GRC","AFG",1,99,99,1,1,6,0,"ASIA"
"SVK","AFG",1,2,2,2,2,1,0,"ASIA"
"SWE","AFG",1,3,3,2,2,15,0,"ASIA"
"CHE","AFG",1,99,99,3,2,129,0,"ASIA"
"CAN","AFG",1,2,2,2,2,350,0,"ASIA"
"SWE","AFG",1,3,3,1,1,295,0,"ASIA"
"USA","AFG",1,2,2,1,1,6050,0,"ASIA"
"POL","AFG",1,2,2,2,1,9,0,"ASIA"
"NOR","AFG",1,3,3,3,1,23,0,"ASIA"
"IRL","AFG",1,2,2,2,1,3,0,"ASIA"
"SWE","AFG",1,3,3,3,2,200,0,"ASIA"
"SWE","AFG",1,1,1,3,1,530,0,"ASIA"
"AUS","AFG",1,1,1,99,2,5,0,"ASIA"
"SWE","AFG",1,1,1,1,2,55,0,"ASIA"
"USA","AFG",1,2,2,3,2,4360,0,"ASIA"
"TUR","AFG",1,1,1,2,2,42,0,"ASIA"
"MEX","AFG",1,3,3,1,1,2,0,"ASIA"
"FRA","AFG",1,2,2,3,2,115,0,"ASIA"
"SVK","AFG",1,2,2,3,1,1,0,"ASIA"
"ITA","AFG",1,2,2,3,2,7,0,"ASIA"
"POL","AFG",1,2,2,2,2,3,0,"ASIA"
"GBR","AFG",1,99,99,99,1,249,0,"ASIA"
"GRC","AFG",1,1,1,2,2,5,0,"ASIA"
"FRA","AFG",1,2,2,1,1,211,0,"ASIA"
"POL","AFG",1,3,3,3,1,3,0,"ASIA"
"SVK","AFG",1,3,3,2,1,5,0,"ASIA"
"USA","AFG",1,1,1,3,1,1805,0,"ASIA"
"NZL","AFG",1,99,99,2,1,12,0,"ASIA"
"HUN","AFG",1,2,2,3,2,19,0,"ASIA"
"SVK","AFG",1,2,2,2,1,3,0,"ASIA"
"SVK","AFG",1,3,3,1,1,37,0,"ASIA"
"FIN","AFG",1,1,1,3,1,45,0,"ASIA"
"SVK","AFG",1,3,3,99,1,1,0,"ASIA"
"GBR","AFG",1,2,2,2,1,254,0,"ASIA"
"FRA","AFG",1,2,2,3,1,67,0,"ASIA"
"IRL","AFG",1,2,2,3,2,3,0,"ASIA"
"USA","AFG",1,3,4,3,1,90,0,"ASIA"
"CZE","AFG",1,1,1,1,1,1,0,"ASIA"
"GRC","AFG",1,3,3,2,1,4,0,"ASIA"
"AUS","AFG",1,3,3,1,2,243,0,"ASIA"
"TUR","AFG",1,2,2,1,1,426,0,"ASIA"
"HUN","AFG",1,1,1,2,1,2,0,"ASIA"
"USA","AFG",1,3,4,2,2,4,0,"ASIA"
"TUR","AFG",1,2,2,2,1,90,0,"ASIA"
"CZE","AFG",1,2,2,3,1,6,0,"ASIA"
"DNK","AFG",1,2,2,2,1,22,0,"ASIA"
"BEL","AFG",1,1,1,1,2,9,0,"ASIA"
"SWE","AFG",1,99,99,1,2,15,0,"ASIA"
"NOR","AFG",1,3,4,3,1,1,0,"ASIA"
"SWE","AFG",1,3,4,3,1,15,0,"ASIA"
"USA","AFG",1,1,1,3,2,5420,0,"ASIA"
"DEU","AFG",1,1,,1,1,7230,0,"ASIA"
"NOR","AFG",1,3,3,3,2,11,0,"ASIA"
"NOR","AFG",1,3,3,1,2,22,0,"ASIA"
"IRL","AFG",1,1,1,2,2,6,0,"ASIA"
"TUR","AFG",1,2,2,2,2,18,0,"ASIA"
"DNK","AFG",1,2,2,3,2,323,0,"ASIA"
"CZE","AFG",1,99,99,3,2,2,0,"ASIA"
"SWE","AFG",1,99,99,3,1,635,0,"ASIA"
"CZE","AFG",1,3,4,3,1,2,0,"ASIA"
"GBR","AFG",1,1,1,3,2,1926,0,"ASIA"
"CZE","AFG",1,3,4,1,1,2,0,"ASIA"
"HUN","AFG",1,3,34,2,2,1,0,"ASIA"
"AUS","AFG",1,1,1,99,1,16,0,"ASIA"
"FRA","AFG",1,1,1,1,2,28,0,"ASIA"
"AUS","AFG",1,1,1,2,2,84,0,"ASIA"
"CHE","AFG",1,3,3,1,2,12,0,"ASIA"
"AUS","AFG",1,99,99,3,2,356,0,"ASIA"
"NZL","AFG",1,3,3,3,1,12,0,"ASIA"
"AUS","AFG",1,3,3,3,1,289,0,"ASIA"
"FRA","AFG",1,3,34,2,1,147,0,"ASIA"
"CHE","AFG",1,2,2,1,1,136,0,"ASIA"
"USA","AFG",1,3,3,1,1,5890,0,"ASIA"
"NZL","AFG",1,3,3,2,1,6,0,"ASIA"
"BEL","AFG",1,99,99,2,2,6,0,"ASIA"
"NOR","AFG",1,1,1,3,2,91,0,"ASIA"
"CHE","AFG",1,3,4,3,2,34,0,"ASIA"
"NZL","AFG",1,1,1,1,2,3,0,"ASIA"
"NOR","AFG",1,2,2,2,1,23,0,"ASIA"
"FIN","AFG",1,2,2,3,2,20,0,"ASIA"
"SWE","AFG",1,99,99,2,2,5,0,"ASIA"
"IRL","AFG",1,3,3,3,2,6,0,"ASIA"
"ITA","AFG",1,3,3,2,2,1,0,"ASIA"
"CHE","AFG",1,99,99,1,2,39,0,"ASIA"
"CZE","AFG",1,3,3,2,2,5,0,"ASIA"
"TUR","AFG",1,99,99,2,1,59,0,"ASIA"
"SVK","AFG",1,3,3,3,1,1,0,"ASIA"
"IRL","AFG",1,3,3,1,1,9,0,"ASIA"
"FIN","AFG",1,1,1,2,1,20,0,"ASIA"
"IRL","AFG",1,1,1,3,2,18,0,"ASIA"
"CHE","AFG",1,3,3,3,1,9,0,"ASIA"
"CZE","AFG",1,3,3,1,2,2,0,"ASIA"
"CHE","AFG",1,1,1,3,2,85,0,"ASIA"
"NOR","AFG",1,99,99,1,2,64,0,"ASIA"
"NZL","AFG",1,2,2,1,1,39,0,"ASIA"
"ITA","AFG",1,1,1,2,2,3,0,"ASIA"
"BEL","AFG",1,3,3,3,2,14,0,"ASIA"
"BEL","AFG",1,3,3,3,1,9,0,"ASIA"
"FIN","AFG",1,1,1,1,2,5,0,"ASIA"
"BEL","AFG",1,2,2,99,2,2,0,"ASIA"
"BEL","AFG",1,99,99,99,1,68,0,"ASIA"
"AUS","AFG",1,3,3,99,2,8,0,"ASIA"
"GBR","AFG",1,2,2,1,2,150,0,"ASIA"
"TUR","AFG",1,2,2,3,2,189,0,"ASIA"
"AUS","AFG",1,3,4,1,1,21,0,"ASIA"
"GBR","AFG",1,3,34,1,2,175,0,"ASIA"
"HUN","AFG",1,2,2,1,2,3,0,"ASIA"
"IRL","AFG",1,3,3,3,1,3,0,"ASIA"
"FIN","AFG",1,2,2,2,1,5,0,"ASIA"
"SWE","AFG",1,2,2,2,1,80,0,"ASIA"
"CHE","AFG",1,2,2,2,1,31,0,"ASIA"
"ITA","AFG",1,3,4,3,1,1,0,"ASIA"
"CHE","AFG",1,1,1,2,1,48,0,"ASIA"
"AUS","AFG",1,1,1,1,1,800,0,"ASIA"
"CZE","AFG",1,2,2,2,2,1,0,"ASIA"
"CHE","AFG",1,99,99,3,1,108,0,"ASIA"
"NOR","AFG",1,1,1,2,2,4,0,"ASIA"
"ITA","AFG",1,3,3,1,1,12,0,"ASIA"
"POL","AFG",1,1,1,99,1,3,0,"ASIA"
"NZL","AFG",1,2,2,2,1,30,0,"ASIA"
"HUN","AFG",1,2,2,2,2,1,0,"ASIA"
"SVK","AFG",1,1,1,2,1,1,0,"ASIA"
"NOR","AFG",1,3,3,2,2,2,0,"ASIA"
"NZL","AFG",1,1,1,1,1,15,0,"ASIA"
"FRA","AFG",1,3,34,1,1,348,0,"ASIA"
"NZL","AFG",1,3,3,1,2,3,0,"ASIA"
"AUS","AFG",1,2,2,1,2,326,0,"ASIA"
"SWE","AFG",1,1,1,2,2,20,0,"ASIA"
"AUS","AFG",1,3,3,2,2,64,0,"ASIA"
"GBR","AFG",1,99,99,3,2,122,0,"ASIA"
"BEL","AFG",1,1,1,3,2,74,0,"ASIA"
"GBR","AFG",1,1,1,3,1,2465,0,"ASIA"
"DNK","AFG",1,99,99,3,1,549,0,"ASIA"
"ITA","AFG",1,1,1,1,2,6,0,"ASIA"
"NOR","AFG",1,2,2,1,1,109,0,"ASIA"
"CAN","AFG",1,3,3,1,1,1780,0,"ASIA"
"SWE","AFG",1,99,99,1,1,50,0,"ASIA"
"FIN","AFG",1,3,3,2,1,5,0,"ASIA"
"FRA","AFG",1,1,1,3,2,169,0,"ASIA"
"BEL","AFG",1,1,1,2,1,40,0,"ASIA"
"CHE","AFG",1,2,2,3,2,47,0,"ASIA"
"GBR","AFG",1,99,99,3,1,277,0,"ASIA"
"CAN","AFG",1,3,3,3,2,780,0,"ASIA"
"TUR","AFG",1,3,3,1,1,209,0,"ASIA"
"BEL","AFG",1,1,1,1,1,53,0,"ASIA"
"BEL","AFG",1,1,1,99,2,3,0,"ASIA"
